id, x, y, freq, label
0, -43.899914, 35.824368, 4288, seattle
1, -47.010738, 38.412621, 4022, gay
2, -74.368362, 38.470047, 2060, would
3, -74.766335, 37.462353, 1606, one
4, -55.262772, 37.734814, 1218, new
5, -60.954514, 42.263569, 1196, city
6, -46.929947, 35.197197, 1000, aids
7, -73.780479, 39.089542, 986, could
8, -55.147449, 36.074245, 956, first
9, -75.447418, 36.820889, 938, said
10, -53.033424, 34.213814, 936, also
11, -43.832695, 36.612938, 930, times
12, -62.622883, 41.642658, 866, men
13, -79.099159, 29.408651, 868, two
14, -45.748425, 20.290483, 812, state
15, -62.391323, 41.591156, 634, women
16, -44.687653, 34.453049, 818, see
17, -45.947929, 30.172480, 808, police
18, -45.103085, 20.030651, 772, washington
19, -47.198429, 38.196278, 1258, lesbian
20, -75.060936, 37.012806, 612, people
21, -73.121208, 38.054359, 678, even
22, -44.636826, 37.129406, 678, news
23, -61.027176, 42.626869, 0, gays
24, -61.867508, 42.456329, 0, lesbians
25, -60.337959, 32.050243, 572, time
26, -60.589001, 41.981083, 586, homosexuals
27, -73.477173, 38.690201, 490, sex
28, -74.972473, 37.305771, 530, like
29, -80.171227, 28.012865, 548, years
30, -48.050896, 19.434946, 534, law
31, -53.219315, 25.422052, 508, rights
32, -47.506493, 37.907734, 494, community
33, -55.951565, 32.233181, 458, church
34, -79.978935, 27.962563, 510, later
35, -44.996159, 19.815521, 498, university
36, -57.436684, 26.896605, 468, hill
37, -50.262959, 23.966408, 380, farmer
38, -68.780746, 43.345203, 486, life
39, -60.522072, 41.814289, 472, public
40, -52.354671, 36.909191, 446, group
41, -65.479309, 43.493553, 474, sexual
42, -74.601448, 36.814659, 454, another
43, -79.649704, 28.144444, 366, three
44, -46.723114, 31.440771, 440, told
45, -46.450706, 21.450026, 432, court
46, -45.095684, 35.181507, 434, may
47, -43.584156, 36.737560, 112, post
48, -44.684513, 36.446369, 410, march
49, -72.238152, 37.139618, 420, still
50, -60.061089, 31.614185, 390, man
51, -72.372734, 38.746632, 398, ing
52, -59.047928, 29.945293, 384, called
53, -46.880749, 37.368607, 358, northwest
54, -71.097450, 40.069542, 372, way
55, -69.803528, 39.162506, 370, homosexual
56, -58.014141, 36.603844, 350, well
57, -60.191212, 38.083557, 366, became
58, -43.458340, 35.668758, 64, intelligencer
59, -79.419456, 26.282679, 276, year
60, -51.198112, 35.512882, 296, brydon
61, -44.556297, 36.090099, 358, june
62, -60.889774, 38.342617, 354, began
63, -60.533028, 41.768688, 356, political
64, -52.359810, 36.969421, 350, dorian
65, -48.160854, 23.154404, 338, health
66, -49.128696, 21.273748, 326, case
67, -73.382088, 36.854855, 334, wanted
68, -46.771488, 22.038866, 276, king
69, -57.744194, 26.184034, 326, catholic
70, -53.309521, 25.217230, 322, civil
71, -60.628742, 38.487797, 322, become
72, -56.192467, 38.408932, 314, members
73, -78.320518, 28.193680, 246, old
74, -68.784248, 43.342613, 318, civic
75, -71.380356, 34.968971, 310, made
76, -70.249954, 40.196640, 314, many
77, -70.166817, 37.487251, 304, seemed
78, -52.815159, 22.024286, 240, cal
79, -65.664482, 38.322666, 286, part
80, -47.679680, 37.858955, 286, center
81, -45.499802, 18.044872, 272, society
82, -54.230484, 29.328787, 292, john
